row.number,BD,PFL,throt,ED,EP,GS,GSh,MP,BS,Site1,species,group
4731,0.334,0.187,2.569105691,0.076,0.553892216,0.011131657,1.627906977,0.419161677,0.532934132,BSBC,LEIUNI,Intermittent
4741,0.327,0.215,2.495867769,0.081,0.516819572,0.008664,1.5,0.385321101,0.571865443,BSBC,LEIUNI,Intermittent
4751,0.32,0.191,2.393162393,0.083,0.428125,0.00757156,1.463414634,0.28125,0.534375,BSBC,LEIUNI,Intermittent
4761,0.35,0.182,2.346774194,0.087,0.534285714,0.008506944,1.6,0.42,0.491428571,BSBC,LEIUNI,Intermittent
4771,0.335,0.212,2.464566929,0.086,0.588059701,0.010887574,1.391304348,0.492537313,0.567164179,BSBC,LEIUNI,Intermittent
4781,0.366,0.192,2.610687023,0.088,0.489071038,0.010836,1.465116279,0.355191257,0.510928962,BSBC,LEIUNI,Intermittent
4791,0.38,0.181,2.112781955,0.055,0.586842105,0.017278537,1.033333333,0.457894737,0.439473684,SHCR,LEIUNI,Intermittent
4801,0.361,0.193,2.52,0.058,0.531855956,0.016397334,0.976377953,0.360110803,0.468144044,SHCR,LEIUNI,Intermittent
4815,0.402,0.181,2.302521008,0.059,0.629353234,0.02146915,1.04,0.470149254,0.432835821,SHCR,LEIUNI,Intermittent
4821,0.385,0.186,2.326086957,0.078,0.516883117,0.01079813,1.051948052,0.392207792,0.475324675,SHCR,LEIUNI,Intermittent
4831,0.348,0.198,2.172413793,0.058,0.612068966,0.010546241,0.78,0.454022989,0.50862069,SHCR,LEIUNI,Intermittent
4841,0.357,0.205,2.516393443,0.07,0.540616246,0.013849525,1.215189873,0.383753501,0.481792717,SHCR,LEIUNI,Intermittent
4851,0.351,0.193,2.527559055,0.063,0.558404558,0.008731098,0.771084337,0.37037037,0.472934473,SHCR,LEIUNI,Intermittent
4861,0.387,0.179,2.477272727,0.077,0.532299742,0.015732323,1.155844156,0.395348837,0.454780362,SHCR,LEIUNI,Intermittent
4871,0.377,0.207,1.96350365,0.062,0.538461538,0.017971847,1.352941176,0.360742706,0.469496021,SHCR,LEIUNI,Intermittent
4881,0.359,0.196,1.740740741,0.073,0.532033426,0.014175207,1.046875,0.373259053,0.470752089,SHCR,LEIUNI,Intermittent
4891,0.379,0.189,2.333333333,0.083,0.498680739,0.015651672,1.169491525,0.361477573,0.472295515,SHCR,LEIUNI,Intermittent
4901,0.358,0.195,1.968992248,0.066,0.516759777,0.0152,1.52,0.38547486,0.55027933,SHCR,LEIUNI,Intermittent
4915,0.347,0.216,2.040322581,0.069,0.484149856,0.012819658,0.947368421,0.291066282,0.501440922,SHCR,LEIUNI,Intermittent
4921,0.355,0.199,2.390977444,0.09,0.461971831,0.013354459,1.18,0.295774648,0.546478873,SHCR,LEIUNI,Intermittent
4931,0.362,0.21,2.2734375,0.085,0.488950276,0.016711111,1.531914894,0.35359116,0.486187845,SHCR,LEIUNI,Intermittent
4941,0.326,0.208,2.349206349,0.087,0.506134969,0.01212766,1.212765957,0.349693252,0.527607362,SHCR,LEIUNI,Intermittent
